1,85, UVJ,IDI,CZP,101,3,50,115,50,10
1,17, WGZ,UKV,SXM,50,47,91,103,111,38
1,90, PUZ,UBQ,FUW,50,12,100,54,69,17
1,118, ZET,RBT,SRG,114,38,114,119,66,101
1,38, UPT,YIQ,BKM,11,109,9,87,84,43
1,43, MVX,VXR,GNZ,103,30,118,111,115,24
1,30, DQT,IGY,HYP,29,82,79,83,43,90
1,13, VIY,RZJ,KQE,15,57,56,22,8,48
1,77, OCF,LNL,LCB,15,36,63,50,90,49
1,110, FAX,QVX,SLT,44,105,90,114,17,8
1,84, NLA,VHD,RGH,79,50,116,43,23,113
1,57, PYA,KRA,CWQ,30,110,103,58,44,82
1,31, FUC,MUB,SLA,74,29,103,15,81,10
1,98, EZS,EGE,DXU,35,65,43,100,107,110
1,46, RIQ,RPM,VRC,86,7,5,112,15,15
1,26, XSP,CVH,YMK,25,69,71,43,51,31
1,92, UIC,PHR,SVT,41,102,116,31,64,26
2,87, UNS,LFY,KNX,115,59,84,67,97,116
2,28, NZE,PXZ,WQP,87,113,108,87,29,93
2,105, LYX,IPT,SCM,115,107,106,76,106,69
2,69, ZMC,LTX,OKE,34,76,64,8,73,46
2,103, RLP,TSX,RLS,102,51,47,116,35,1
2,76, UTN,WHF,AUI,105,68,49,34,69,29
2,116, SBB,XLG,MPJ,106,89,17,76,14,15
2,40, CTU,OXJ,EZI,93,14,77,99,76,96
2,73, PSO,ARB,SQZ,76,52,8,72,5,108
2,49, EUW,LIR,OQV,20,116,4,77,42,92
2,80, GDL,FZN,FDU,73,8,81,83,48,76
2,75, DUK,CLF,XIN,109,70,72,80,65,40
2,115, UNF,QAP,FFK,111,81,7,73,52,7
2,33, UTL,PAL,ZNR,119,26,62,115,62,47
2,106, PBX,YQA,LTC,50,112,97,115,32,116
2,23, DTJ,IQP,XMQ,114,39,80,20,18,71
2,2, IKD,QUK,XMX,115,23,65,29,76,89
2,101, BTY,LHV,CBC,66,13,105,16,103,37
2,41, HIB,NZP,JDU,105,71,12,10,16,101
2,15, XMY,LHX,NSY,53,25,112,50,116,52
3,67, RHQ,BRR,LIG,81,77,65,7,14,117
3,81, IGR,CDL,DPT,51,53,117,24,49,102
3,104, MFU,PSS,KWI,95,95,84,25,20,105
3,1, VTU,KYT,JFQ,63,53,14,14,114,74
3,95, MVS,DVS,OGT,81,21,118,25,84,71
3,42, VMC,PGM,LIT,104,34,81,2,98,77
3,89, DTY,ANT,QEV,75,57,78,67,42,118
3,53, MQY,KAF,QXR,117,52,29,31,98,43
3,44, YJZ,XHX,CHQ,91,64,66,1,59,89
3,60, SCR,POE,CVM,28,9,67,2,17,48
3,117, LNN,JTT,SNK,7,60,107,94,86,59
3,97, SBO,WMC,TZX,45,67,55,90,62,60
3,61, OAZ,QPZ,ZOM,97,57,43,70,52,65
3,63, SJT,VFB,LKM,20,67,69,89,67,23
3,91, MDH,OVN,SCH,120,76,81,61,36,24
3,10, KBQ,XCW,SDX,32,80,104,72,109,36
3,9, WSC,JBX,FND,51,118,91,11,29,72
3,66, CNP,NUS,OVR,18,9,48,44,86,85
3,114, BSS,LOZ,SKQ,106,55,63,59,66,19
3,74, IZW,OFF,OPT,67,91,99,100,97,85
4,16, GXQ,ZJV,RNT,7,79,17,12,27,37
4,56, UDN,WTS,YMY,80,106,14,108,38,12
4,71, NDN,TSO,GBP,99,103,27,48,83,53
4,48, ZVE,VZJ,YOD,108,49,94,119,93,3
4,14, RYO,SGU,TVN,7,39,42,113,71,2
4,58, VZH,YHE,SPR,56,3,55,93,22,14
4,25, QJB,TJT,CSJ,9,12,95,107,71,83
4,96, OVF,POK,DOD,106,16,110,114,119,48
